code,name,addr,hp,type,customer,insert_person,regdate
18,(주) 티아,부산광역시 강서구 화전산단5로84번길 22 (화전동),051-941-2097,제조,송진홍,관리자,2019-09-26
19,(주) 한솔아이스컴패니,"부산광역시 부산진구 동성로49번길 13, 1층 (전포동)",051-907-9235,제조,김재윤,관리자,2019-09-27
20,(주)ABB코리아,부산광역시 금정구 개좌로 274 (회동동),051-933-0500,제조,손지형,관리자,2019-09-28
21,(주)ALF,"부산광역시 사상구 새벽로 37 (학장동, (주)ALF)",051-311-4682,제조,이연주,관리자,2019-09-29
22,(주)BHE,"부산광역시 강서구 미음산단5로41번길 21, 해양융복합동(본관동) 302호 (미음동)",051-941-1504,제조,이재현,관리자,2019-09-30
23,(주)BM,"부산광역시 영도구 태종로 727,  한국해양대학교 창업보육센터508 (동삼동)",051-406-1310,제조,장부기,관리자,2019-10-01
24,(주)D.P.M,부산광역시 사상구 농산물시장로 18 (엄궁동),051-301-0031,제조,김영습,관리자,2019-10-02
25,(주)DH전장,"부산광역시 금정구 공단동로41번길 10,  보림팩토피아 407호~411호 (금사동)",051-521-1120,제조,마영민,관리자,2019-10-03
26,(주)HN푸드,부산광역시 사하구 하신중앙로27번길 15 (장림동),051-263-7249,제조,유한나,관리자,2019-10-04
27,(주)IEN한창,부산광역시 기장군 장안읍 반룡리 835-1 번지,051-831-3470,제조,박주웅,관리자,2019-10-05
28,신일테크,"부산광역시 사상구 강변대로456번길 38 (엄궁동, 신일테크)",051-324-5039,제조,이선용,관리자,2019-10-06
29,신일화학,부산광역시 강서구 녹산산단261로39번길 2 (송정동),051-831-4048,도금,김효준,관리자,2019-10-07
30,신정산업사,부산광역시 사하구 다대로300번길 15 (장림동),051-291-1747,도금,김광곤,관리자,2019-10-08
31,신정애드,부산광역시 부산진구 신천대로 74-1 (부전동),051-803-0377,도금,김홍곤,관리자,2019-10-09
32,신정테크,부산광역시 영도구 대평로20번길 13 (대평동1가),051-415-4429,도금,강동현,관리자,2019-10-10
33,신지사,부산광역시 중구 자갈치로 80 (남포동4가),051-245-1254,도금,이강덕,관리자,2019-10-11
34,신지테크윈 주식회사(S.G.Techwin),부산광역시 강서구 평강로171번길 30-13 (대저1동),051-714-2330,도금,손수익,관리자,2019-10-12
35,신지통상,부산광역시 강서구 녹산산단231로 47 (송정동),051-831-1300,도금,전갑수,관리자,2019-10-13
36,신진DMB,부산광역시 강서구 식만로 41-9 (죽림동),051-973-2763,제조,박태정,관리자,2019-10-14
37,신진TECH,부산광역시 사상구 낙동대로1348번길 18 (삼락동),051-305-7450,제조,양선철,관리자,2019-10-15
38,신진금속,부산광역시 강서구 낙동북로126번길 20-1 (강동동),051-973-2161,제조,김영일,관리자,2019-10-16
39,신진볼트공업사,부산광역시 사하구 하신번영로127번길 26 (신평동),051-207-7474,제조,김대환,관리자,2019-10-17
40,신진볼트공업사,부산광역시 강서구 화전산단6로66번길 27 (화전동),051-207-7474,제조,서승길,관리자,2019-10-18
41,신진산업,부산광역시 강서구 낙동북로108번길 35 (강동동),051-123-4567,제조,홍금자,관리자,2019-10-19
42,신진상사,부산광역시 강서구 식만로 13-44 (죽림동),051-972-2215,제조,김광남,관리자,2019-10-20
43,신진섬유,부산광역시 사하구 신산로 130 (신평동),051-205-5605,제조,윤영남,관리자,2019-10-21
44,신진에스엠    ,부산광역시 기장군 장안읍 장안산단1로 12-15,051-727-7311,제조,김교철,관리자,2019-10-22
45,신진유압기계,부산광역시 강서구 경전철로39번길 12 (대저2동),051-315-0945,제조,김복만,관리자,2019-10-23
46,신진전착,부산광역시 사하구 다산로225번길 38 (장림동),051-264-2947,제조,곽은희,관리자,2019-10-24
47,신진종합코팅,"부산광역시 사상구 낙동대로1420번길 41,  부산인쇄타운 415호 (삼락동)",051-302-9979,제조,허재호,관리자,2019-10-25
48,신진터빈엔지니어링,"부산광역시 영도구 대평남로 47,  18-4번지 (대평동2가)",051-414-7174,제조,김범규,관리자,2019-10-26
49,신진포장,부산광역시 강서구 설만신평길 4 (대저2동),051-317-1518,제조,선옥규,관리자,2019-10-27
50,신진푸드,"부산광역시 사하구 다대로605번길 9,  2층 (다대동)",051-264-4412,제조,김상렬,관리자,2019-10-28
